,squareMeters,numberOfRooms,hasYard,hasPool,floors,cityPartRange,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasGuestRoom,price
2818,4099,27,0,0,84,8,2000,1,0,7950,3949,741,8,413304.0
2819,23478,80,1,0,5,8,2019,1,0,5728,2902,263,6,2351874.9
2820,1086,4,1,0,81,2,2011,0,1,64,7702,375,9,116061.1
2821,45181,78,1,1,39,7,1994,1,0,6735,8600,530,10,4525938.4
2822,176,30,0,0,15,6,2000,0,0,2325,6230,536,9,18985.0
2823,79680,84,0,0,100,5,2018,0,1,3404,2843,632,0,7975851.8
2824,32776,72,0,1,71,3,2001,0,1,8324,2179,737,8,3283690.1
2825,88755,4,1,1,5,7,2011,1,0,1759,5842,288,5,8882476.1
2826,95096,68,0,0,83,2,2009,1,1,7667,37,801,0,9515861.9
2827,77212,70,0,1,16,7,2012,1,1,8919,5402,692,5,7727317.2
2828,46910,80,1,1,99,7,1994,0,0,4093,3721,890,8,4706368.4
2829,75487,82,0,1,97,4,2011,1,0,9162,1991,442,1,7558644.1
2830,41090,24,0,1,39,2,2010,0,0,8963,1592,316,2,4114595.0
2831,87111,16,1,0,71,10,2008,1,1,4567,4444,708,1,8716894.8
2832,87353,5,1,1,47,8,1991,1,1,5013,5168,108,8,8745540.1
2833,29664,88,1,0,87,8,2006,1,1,1108,7600,891,3,2975680.6
2834,23184,56,1,1,100,7,1997,0,1,7131,4031,762,3,2335644.7
2835,65482,66,1,1,21,5,1996,1,1,134,1222,171,6,6556065.6
2836,81602,9,1,1,46,7,2017,0,1,5471,1562,144,2,8169478.7
2837,48129,73,1,1,76,10,1994,1,1,7889,4322,514,2,4823162.4
2838,2684,97,0,1,19,7,2010,0,1,2676,1879,936,8,272104.0
2839,17563,51,1,0,95,6,2013,0,1,4369,7844,555,2,1762997.3
2840,37853,97,0,1,54,5,2019,0,1,1210,346,332,0,3792902.9
2841,25147,35,1,0,81,3,2014,0,1,4068,7472,225,6,2521731.4
2842,23843,64,0,1,87,6,1999,1,1,2961,9343,919,2,2391434.9
2843,68369,86,1,0,19,7,2010,1,1,3330,9662,292,2,6843646.0
2844,11583,49,0,1,9,6,2012,0,0,8636,4794,549,4,1161984.2
2845,9559,28,0,0,76,8,2020,1,1,4966,3537,849,6,963514.0
2846,38611,20,1,1,53,8,2020,1,0,308,1690,810,6,3870229.0
2847,17618,9,1,1,36,1,1992,1,0,8906,6122,943,1,1771805.2
2848,73903,34,1,0,35,3,2017,0,0,250,2992,718,5,7397590.7
2849,24484,22,1,0,21,5,2000,0,1,6601,9844,236,8,2452550.0
2850,32442,25,1,1,51,5,2004,1,1,9834,7341,289,4,3252838.4
2851,38826,53,1,0,91,1,2001,1,1,2901,7535,464,5,3890080.1
2852,65340,84,0,0,34,3,2004,0,0,5481,349,836,7,6536254.4
2853,93638,51,1,1,62,10,1992,0,1,6134,2573,694,9,9378471.2
2854,61146,84,1,1,54,4,2021,1,1,4572,2348,433,9,6125077.1
2855,24004,62,1,1,99,2,2003,1,0,1372,2371,446,4,2414637.3
2856,83588,82,1,1,57,3,1994,1,1,2598,746,108,2,8369526.4
2857,85820,72,1,1,70,7,2002,1,0,2238,7291,998,1,8588402.2
2858,39799,23,1,0,76,7,1993,0,1,5411,1575,281,9,3984987.3
2859,84355,23,0,1,22,8,1999,1,1,4851,7101,736,9,8439985.9
2860,59747,38,1,1,13,4,1994,1,1,4173,7116,973,8,5984506.4
2861,6009,36,1,1,59,1,2016,0,0,8867,3057,158,9,612067.6
2862,5965,25,0,0,88,8,2017,1,0,9846,2192,243,1,601173.7
2863,78079,31,1,0,98,1,2001,1,1,3136,7021,989,7,7820045.1
2864,48378,17,1,1,19,8,2000,0,1,7572,5929,498,1,4848213.0
2865,94695,86,1,1,1,4,1992,1,1,5398,553,509,8,9478421.2
2866,48642,56,1,0,87,5,2020,0,0,3600,2728,145,7,4869835.0
2867,11524,24,1,1,65,9,2018,1,0,9789,9878,331,10,1161912.8
2868,97539,70,1,0,88,7,1990,1,1,4165,5523,447,10,9761326.0
2869,825,24,0,1,23,6,2008,0,0,8622,2077,584,4,87430.8
2870,64365,46,1,1,27,3,2018,1,1,204,2316,957,3,6444610.8
2871,68063,52,1,0,51,10,1990,0,1,9550,3622,379,4,6813816.0
2872,41848,55,1,1,99,6,1992,0,1,2330,3066,861,0,4200544.2
2873,78741,54,0,1,60,10,2005,0,0,9057,5024,402,2,7880701.5
2874,16824,86,1,1,72,1,2010,1,0,4287,7300,984,10,1695808.0
2875,51203,59,0,0,58,2,2010,1,0,8413,3175,359,5,5123643.0
2876,97108,30,0,0,88,3,2008,0,1,1103,6879,555,8,9714782.8
2877,69261,41,1,1,29,7,2008,0,1,6518,3834,546,3,6935036.8
2878,89425,19,1,1,47,10,2002,0,1,3695,3399,439,8,8952287.2
2879,26792,67,1,1,32,8,2003,1,0,4687,5948,327,1,2684819.3
2880,91443,65,0,0,61,7,2002,1,0,9240,6787,549,5,9148710.2
2881,89470,47,0,0,4,5,2005,0,1,6633,4782,321,8,8947834.5
2882,53313,41,0,0,47,2,2003,0,0,2127,4905,793,9,5335501.3
2883,93913,6,0,1,15,4,2009,0,1,9940,7252,744,0,9396713.9
2884,31042,48,0,0,53,9,2003,1,0,907,3418,162,5,3109396.3
2885,9329,18,0,0,18,6,2018,0,1,2898,7505,176,8,934231.8
2886,42272,8,1,0,15,10,2017,1,0,6622,3306,733,5,4232650.7
2887,30588,71,1,0,73,4,1998,0,1,9841,8345,457,2,3064993.8
2888,99742,96,1,1,51,7,2013,1,1,6762,2336,760,6,9984910.3
2889,33065,15,1,1,22,10,1998,1,0,733,8245,305,10,3314847.8
2890,22702,10,0,0,49,3,1995,1,0,6442,1994,122,6,2271827.5
2891,31885,26,1,1,68,9,2005,1,0,1974,489,732,7,3202805.5
2892,64602,77,1,0,65,5,1996,0,1,2656,2980,434,6,6467513.6
2893,75853,17,1,0,63,7,2004,1,1,4768,2815,256,8,7591050.4
2894,5409,51,0,0,70,10,2017,1,1,7475,9621,142,7,546201.7
2895,80699,20,1,0,88,3,2009,0,1,1740,1538,372,8,8074576.9
2896,8607,17,0,0,14,3,1992,0,1,1627,465,504,1,862453.2
2897,75057,63,1,1,63,6,2017,0,1,9394,6084,275,6,7518049.7
2898,70919,11,1,1,44,1,1997,1,1,8742,1290,177,10,7101031.7
2899,29710,96,1,0,67,7,2015,0,1,9951,4716,1000,2,2978583.5
2900,61798,46,0,0,54,8,2013,1,0,9956,8006,361,0,6182113.3
2901,6313,53,1,0,67,9,2014,1,0,7458,8642,651,0,641055.4
2902,60375,50,0,0,65,4,2004,0,1,8852,5057,664,9,6038750.4
2903,69421,45,0,1,9,9,2014,1,0,8080,4985,665,9,6945284.4
2904,89086,4,0,0,16,8,2019,1,0,2269,2972,885,9,8909993.9
2905,68603,60,0,0,23,3,2020,0,1,5026,7023,209,2,6861289.0
2906,12448,59,0,0,44,4,2003,1,0,1095,4762,168,0,1249624.3
2907,37945,85,0,0,79,7,2001,0,0,1684,7570,917,5,3799158.1
2908,34867,42,0,1,69,5,1991,0,0,6839,4868,809,1,3491110.1
2909,16547,85,1,1,40,4,2008,1,1,2183,3447,119,10,1659757.8
2910,58218,14,1,1,46,3,2004,1,0,1556,3235,831,10,5834539.4
2911,28790,88,0,1,45,7,2005,0,0,6294,9630,655,10,2882833.5
2912,92822,54,1,0,9,3,1999,1,0,1193,6951,975,5,9287119.9
2913,89217,75,1,1,77,1,1991,1,0,2892,9333,331,8,8929604.1
2914,65822,14,0,0,59,5,2006,1,0,6182,6662,946,5,6588632.6
2915,617,21,1,0,27,10,2013,0,0,2834,9336,638,3,67453.3
2916,37171,98,0,0,18,4,2012,1,0,3008,723,440,9,3719105.2
2917,82918,54,0,0,10,7,1999,0,0,8930,4203,871,8,8292659.9
2918,4130,26,1,1,41,9,2021,1,1,7601,9141,896,7,421621.1
2919,95145,60,1,0,50,3,2020,0,1,6696,6839,284,4,9519958.0
2920,58864,11,0,1,1,8,2014,1,0,7302,9803,105,9,5891413.4
2921,94363,61,0,1,23,2,1999,1,1,5668,2239,589,7,9440706.9
2922,78204,16,0,0,46,7,2012,1,1,1830,1136,783,9,7822501.2
2923,71588,89,0,0,21,3,2012,1,0,1540,5378,318,5,7161052.2
2924,68579,67,1,0,70,9,1997,0,1,3523,7099,352,4,6868611.7
2925,19174,44,0,1,54,1,1996,1,1,7078,6766,192,9,1923170.6
2926,90646,21,0,0,82,5,1997,0,1,4615,4738,585,3,9071481.7
2927,81430,82,1,0,54,3,2020,1,0,7294,2909,924,4,8147920.0
2928,99428,94,0,0,68,3,2018,0,0,5468,3046,572,3,9947775.8
2929,60815,2,0,0,97,5,2015,1,0,6517,7559,800,5,6089911.5
2930,95591,90,1,1,39,8,1993,1,1,3338,1139,958,10,9569415.3
2931,47497,18,1,0,72,6,2009,0,1,6683,3996,630,6,4761272.9
2932,65725,75,0,1,95,6,2000,0,0,9052,6832,890,9,6582022.0
2933,21360,8,1,0,60,4,1991,1,1,8744,3286,374,4,2139458.1
2934,56559,23,1,0,60,8,1990,1,0,9091,1223,366,4,5661049.0
2935,45440,74,0,1,98,7,2002,0,0,9249,7129,597,0,4550279.2
2936,13112,74,1,1,26,8,1993,1,1,1633,1105,362,9,1318665.3
2937,68276,71,0,0,31,5,2012,0,0,1793,7020,696,10,6829756.2
2938,64518,90,0,1,61,5,2020,1,1,4171,3638,125,6,6455071.0
2939,56093,94,1,1,11,7,2008,0,0,5012,6187,226,2,5619471.8
2940,84653,83,0,0,20,9,1997,0,1,8123,299,851,1,8467089.7
2941,96169,51,0,1,13,1,2019,1,1,2255,9920,559,7,9620987.9
2942,57789,60,1,1,24,1,2008,1,0,5651,7192,105,5,5787699.8
2943,93091,33,1,1,43,7,1993,0,1,5077,8404,144,8,9317741.3
2944,87190,99,1,0,14,9,2013,0,1,8633,5913,406,0,8724894.3
2945,38998,68,1,1,31,2,1996,1,0,2855,6035,238,2,3910733.6
2946,97134,61,1,0,68,6,2019,0,1,8966,5077,602,7,9718663.9
2947,39309,80,1,1,32,4,2001,0,0,9448,6462,344,7,3939850.1
2948,70751,87,1,0,93,10,2003,0,1,4567,2319,721,7,7084089.3
2949,63086,91,0,0,49,2,2013,0,0,9450,7398,333,10,6312576.3
2950,25472,23,0,1,44,8,2003,0,1,2869,5106,892,9,2552592.3
2951,3514,8,0,1,21,8,2013,1,1,1565,5840,975,2,357856.3
2952,99134,67,1,1,32,4,1998,0,0,9316,9674,517,2,9919472.8
2953,82653,31,0,1,37,8,1992,0,0,6390,2348,480,3,8270829.2
2954,3723,75,1,0,31,2,2010,0,0,5815,9834,240,3,378299.0
2955,28232,6,0,1,18,2,1997,1,0,1632,8322,143,1,2827201.7
2956,46838,49,0,1,51,3,2020,1,1,7312,9273,306,6,4691794.0
2957,90562,47,1,1,7,9,2002,1,0,2562,8224,580,4,9066552.2
2958,562,95,0,1,97,3,2003,1,0,887,1092,178,10,65326.3
2959,5603,75,1,0,73,1,1992,1,0,746,6398,627,5,566684.2
2960,61704,20,1,0,11,1,2012,1,1,638,3805,565,6,6176111.2
2961,49579,99,1,1,37,7,1996,0,1,2301,6666,658,8,4967775.6
2962,59885,28,1,1,25,5,2010,1,0,2803,7183,944,3,5995883.0
2963,72109,81,1,0,41,5,1995,0,1,7934,1567,446,8,7220099.5
2964,41965,87,0,1,61,10,2000,1,1,4173,7371,216,7,4204881.0
2965,94216,32,1,1,75,6,1996,0,0,4216,4231,209,3,9432083.6
2966,39166,68,0,1,86,3,2008,1,0,4613,5967,570,7,3924397.8
2967,9923,41,0,0,46,6,1994,0,0,1340,1899,477,7,995743.4
2968,49374,38,0,0,63,3,2000,1,1,3356,5269,555,10,4944387.0
2969,76316,99,0,0,56,7,1995,0,0,9431,262,566,2,7634333.5
2970,26089,30,1,1,6,9,2013,1,1,4029,7946,554,9,2615548.3
2971,98045,21,1,1,62,9,1995,1,0,7184,3182,691,3,9818036.5
2972,69594,47,0,0,58,5,2021,0,1,6899,128,215,5,6963010.1
2973,56966,77,0,1,17,9,1992,0,0,8974,4039,373,2,5701030.2
2974,64795,53,1,1,64,8,1996,1,1,8261,4387,304,7,6489157.6
2975,39574,37,1,1,54,8,2018,0,0,2806,4867,619,1,3969486.8
2976,49014,54,0,0,62,10,2014,1,0,38,5627,743,2,4908129.4
2977,17034,50,1,1,89,5,2006,1,1,832,5877,417,5,1717170.6
2978,18742,10,0,1,10,5,2015,1,1,9836,9056,387,6,1879684.5
2979,98794,80,0,0,91,1,2021,1,0,4648,6710,662,8,9886677.1
2980,72207,46,1,1,33,2,1996,0,0,6041,760,471,3,7230004.6
2981,54881,24,0,1,72,7,1998,1,0,7585,6763,446,2,5494411.8
2982,12873,1,0,0,12,6,2010,1,1,4165,8515,497,5,1288333.0
2983,66263,51,0,1,4,1,2020,0,0,9244,7982,371,8,6628369.0
2984,26965,29,1,1,19,5,2002,1,1,9662,6704,149,6,2703481.2
2985,9433,84,0,0,1,10,2015,0,0,6558,3404,196,7,944025.5
2986,95293,80,0,0,43,1,1993,1,1,7547,8860,772,5,9534163.3
2987,86619,36,0,0,7,8,1990,1,1,255,2877,222,8,8663060.0
2988,8677,63,0,1,61,10,1996,0,0,927,579,839,3,875920.6
2989,83153,43,0,1,84,1,2014,0,0,7479,1912,956,9,8326391.4
2990,81892,7,1,1,69,3,2015,0,0,9180,2785,230,6,8204629.5
2991,21293,25,0,0,24,1,2007,1,0,2560,3384,242,9,2131214.7
2992,43636,13,1,1,11,7,2007,1,0,4347,9943,561,5,4373848.7
2993,1254,23,0,1,12,2,2018,0,1,817,2943,873,1,127840.8
2994,96953,70,1,0,55,2,2014,0,1,9651,3973,730,7,9703052.4
2995,92877,22,1,1,57,8,1993,0,0,5428,5905,170,8,9293826.3
2996,37312,40,0,1,9,2,2000,1,0,8764,3060,319,4,3735539.0
2997,44075,60,1,1,27,8,2005,0,1,5450,1188,755,8,4416478.5
2998,55845,73,0,1,76,2,2020,1,1,718,294,927,9,5593543.0
2999,68565,89,0,1,21,4,1996,1,1,9995,6951,708,6,6862474.6
3000,87484,77,0,1,27,1,2015,0,1,7495,654,332,6,8750467.5
3001,89220,31,1,0,64,2,2014,1,1,6972,6571,361,8,8928266.4
3002,31525,25,0,1,58,4,1992,1,0,4833,5465,462,0,3161366.2
3003,52579,55,1,1,2,8,2013,0,1,1496,2129,778,7,5263918.3
3004,30803,39,1,0,49,2,2004,0,0,3551,8633,968,6,3085897.4
3005,82120,31,1,1,33,2,2018,0,0,9276,9314,156,0,8223358.8
3006,71171,22,1,1,44,2,2001,1,1,5734,103,873,4,7127415.1
3007,579,8,0,1,20,2,1994,0,1,5060,7544,710,7,63718.4
3008,89204,69,0,0,19,3,1994,0,0,4087,8696,742,6,8921053.4
3009,5904,56,0,1,1,8,2018,0,0,9801,8978,490,1,595108.8
3010,92629,62,0,0,15,8,2003,0,0,5983,1667,618,3,9263965.3
3011,77553,96,0,0,99,9,2005,0,1,4072,4969,406,8,7763278.5
3012,3542,16,1,1,92,5,1998,1,1,6923,5570,414,10,363918.8
3013,10749,68,1,1,71,1,2000,0,0,4757,6098,889,8,1085899.0
3014,38021,76,1,1,82,1,1991,1,1,8601,915,955,0,3817885.1
3015,97193,47,0,1,18,10,2009,0,1,3810,843,488,5,9723642.9
3016,13309,20,1,0,73,6,2004,1,0,1620,7675,843,5,1337541.4
3017,10708,84,0,1,93,6,1998,1,1,9347,118,209,10,1076965.8
3018,77460,95,0,1,23,8,2008,0,1,9289,7172,951,2,7753079.8
3019,94133,93,0,0,71,2,2012,1,1,9978,803,143,10,9415634.2
3020,99869,63,0,1,15,5,2001,1,1,5894,5049,826,10,9990641.1
3021,66370,15,0,0,20,4,2002,0,0,5358,5636,962,7,6638720.2
3022,74780,86,0,0,3,5,2005,1,1,3421,1338,276,1,7479141.5
3023,89925,25,0,1,50,5,1992,1,1,4584,8115,918,6,8999987.2
3024,28808,71,1,1,13,2,2010,1,0,75,1103,755,3,2888357.0
3025,28640,68,0,1,98,9,1990,0,0,4829,7148,865,1,2870927.0
3026,15517,54,0,0,27,8,2001,0,0,7754,8916,991,4,1554406.1
3027,11059,42,0,1,85,9,2011,0,1,9216,2984,888,0,1113128.1
3028,86183,10,1,1,31,7,2010,0,0,8389,8395,637,0,8624347.0
3029,19408,71,1,1,50,3,2013,0,0,4385,3514,180,5,1953014.3
3030,26958,32,1,1,40,8,2001,0,1,9038,919,575,0,2706761.1
3031,45859,4,0,1,69,7,2008,0,1,3926,3239,362,9,4595196.8
3032,55845,54,0,0,41,10,2019,0,1,704,6103,315,7,5588845.9
3033,43304,52,0,1,72,9,2009,1,1,3471,6444,674,9,4337442.9
3034,79511,16,0,0,48,6,2007,0,0,6230,764,643,5,7953040.7
3035,88501,53,0,0,54,4,1992,1,0,6277,279,234,8,8853507.2
3036,75616,74,1,0,80,7,2006,1,0,3725,1227,247,9,7571050.6
3037,18368,21,0,0,7,9,2002,1,0,637,5404,362,10,1837769.2
3038,5375,33,1,1,58,10,2010,0,0,2524,7106,120,3,550909.0
3039,6707,72,0,1,4,1,2001,1,1,4976,5004,429,0,673817.1
3040,92190,11,1,0,72,1,1995,0,1,5402,3753,142,2,9225418.5
3041,25432,58,1,0,46,4,2011,1,0,9273,3243,426,7,2550518.1
3042,37793,34,0,1,55,7,1996,1,1,7075,9413,555,0,3786136.6
3043,60854,27,1,0,30,10,2019,0,0,8561,2872,434,1,6092125.9
3044,91531,85,1,0,12,7,2007,0,1,7085,5229,974,1,9157941.7
3045,68876,40,1,0,25,4,1990,1,0,7964,5567,634,2,6891640.0
3046,7608,98,1,0,6,4,2019,0,1,7675,4430,951,4,764900.9
3047,68717,60,0,1,13,6,2004,0,0,5345,9447,605,4,6877356.4
3048,65723,52,1,1,24,7,2008,1,0,1917,1872,236,4,6578284.8
3049,80039,64,0,0,39,10,1990,0,0,7828,1720,700,1,8008148.0
3050,62744,34,0,1,26,8,1990,0,1,6211,8558,307,4,6279042.0
3051,33624,60,1,1,29,8,2016,1,0,256,8882,723,1,3371675.6
3052,7939,23,1,1,75,6,1995,0,1,4950,9245,770,9,806234.5
3053,62854,33,0,0,71,1,2006,1,0,6993,7510,137,10,6289045.6
3054,51757,81,0,0,35,1,2002,1,0,2500,3378,510,4,5177725.2
3055,32497,56,0,1,20,2,2018,0,0,8808,6207,167,1,3253783.8
3056,32267,51,1,1,59,10,2019,0,0,4674,6809,179,2,3235159.9
3057,92490,40,1,0,23,2,2009,1,1,6831,3435,650,2,9254979.9
3058,72677,78,1,0,57,10,2019,0,1,3202,2431,787,10,7274269.9
3059,68744,89,1,1,77,6,2013,0,0,1008,1368,146,3,6883722.3
3060,87436,65,1,0,77,4,2005,0,0,6671,7593,360,6,8753875.5
3061,80776,37,0,1,38,2,1990,1,1,4193,8122,847,8,8086132.0
3062,30472,87,1,0,34,5,2001,1,1,7093,4036,686,1,3053446.1
3063,52141,65,0,1,40,8,1999,1,1,6502,8866,866,5,5218700.9
3064,51777,6,1,1,38,7,2007,1,0,6619,7721,105,8,5186005.7
3065,40280,72,1,0,56,2,2002,1,1,4126,7269,522,6,4036659.2
3066,79457,58,1,0,18,6,1992,1,0,1393,5374,338,6,7949180.2
3067,93568,51,1,0,31,5,2017,0,0,2633,2275,317,7,9362309.7
3068,656,98,0,1,12,4,2016,0,0,5947,932,707,10,68528.6
3069,28997,16,1,0,28,6,1992,0,1,8232,5924,873,5,2906243.2
3070,97147,4,0,1,98,3,1995,1,1,5468,9304,595,0,9722196.5
3071,69411,45,1,0,25,7,2013,0,0,5047,6724,303,3,6945253.3
3072,38190,42,0,1,92,2,2012,0,1,6916,7363,411,0,3828288.2
3073,81473,12,1,1,1,7,1990,1,0,8513,6267,615,2,8154129.0
3074,23682,31,1,0,97,3,2007,1,1,4705,9969,115,4,2381051.7
3075,81448,44,0,0,24,6,1996,1,0,200,7801,190,8,8146243.6
3076,16127,73,0,1,6,1,2005,1,1,3055,4172,286,6,1615094.5
3077,61486,18,1,1,39,1,1995,0,1,629,5658,231,7,6155982.5
3078,96526,1,0,0,65,7,2005,0,1,7174,6972,617,6,9657380.5
3079,55287,83,0,0,7,2,2017,0,1,3623,1665,267,3,5529453.7
3080,86820,16,0,0,34,2,2012,1,0,5812,6761,765,1,8683419.2
3081,93373,79,1,1,74,3,1990,0,1,4750,6912,552,4,9348395.0
3082,33098,24,1,1,13,8,2021,0,0,3844,9677,380,5,3318507.1
3083,69898,71,0,1,77,5,1992,1,0,8394,2650,920,3,6994429.2
3084,11401,44,1,0,99,1,2013,1,1,6823,5418,169,3,1152914.3
3085,66705,50,0,0,11,8,2007,1,1,4489,8258,310,9,6672336.7
3086,38947,88,0,1,21,7,2018,0,1,6357,3415,751,8,3900872.8
3087,65205,6,1,0,19,8,2004,0,0,9346,4422,467,5,6523874.4
3088,19339,2,1,0,81,2,2003,1,0,9699,9342,889,4,1939172.3
3089,23971,18,1,1,59,7,2005,0,0,9045,7696,461,7,2402438.5
3090,50944,19,0,1,11,4,2013,1,0,6963,819,893,1,5099151.3
3091,43283,59,0,1,43,9,2002,1,0,6595,3881,642,10,4336072.2
3092,29323,58,1,1,7,6,2000,0,1,4994,8783,846,8,2938369.0
3093,81362,72,0,1,72,9,1994,1,1,6047,2565,716,6,8144502.4
3094,8941,4,0,0,94,8,2012,0,0,7273,4065,987,1,902785.2
3095,34967,30,1,0,49,1,2009,1,0,8103,4297,418,1,3501658.9
3096,66555,56,1,1,36,8,2020,1,1,847,8138,184,4,6664457.0
3097,85985,4,1,1,34,2,2005,0,0,6166,5117,303,6,8608190.5
3098,85645,49,1,0,1,6,1998,1,1,1660,5116,426,0,8570147.8
3099,39215,18,1,0,21,6,1994,0,0,5706,5647,415,7,3927273.4
3100,56643,14,1,0,58,4,2018,1,1,6952,8746,504,7,5673199.8
3101,60479,97,0,0,11,9,2016,0,1,6393,5865,679,4,6049532.6
3102,20348,57,0,0,75,10,2021,0,0,209,1777,240,2,2037902.1
3103,66371,49,0,1,75,6,2012,0,1,5198,3616,367,9,6646262.2
3104,31291,16,1,0,27,7,2012,1,1,1969,9644,689,8,3134903.2
3105,7330,54,0,0,95,5,2014,1,0,4957,5927,690,4,740586.4
3106,41502,81,0,0,63,10,2016,1,1,6507,3928,307,7,4155333.6
3107,23027,52,1,0,35,6,2013,1,1,4215,5746,497,6,2309849.3
3108,53371,41,0,1,97,2,2003,0,0,3552,1530,822,6,5346532.3
3109,26997,44,1,1,99,2,2001,1,1,409,80,715,1,2712687.1
3110,16806,10,1,0,19,5,1998,0,1,5645,2749,997,0,1686882.8
3111,44304,87,0,0,63,7,2002,0,0,5377,6303,146,5,4436179.2
3112,66563,56,1,1,53,6,2005,1,1,2867,6929,623,3,6665417.5
3113,89812,74,0,1,14,6,2002,0,1,7195,3059,467,8,8986041.2
3114,39302,41,0,0,67,9,2016,0,0,8316,4989,170,4,3933732.6
3115,44799,32,0,1,71,1,2003,0,0,7341,4727,408,6,4489422.3
3116,36268,23,0,1,65,7,1997,1,0,7419,4511,260,4,3633523.7
3117,86676,22,0,1,12,8,1999,1,1,6119,7836,970,3,8672062.9
3118,83120,8,0,0,7,4,2005,0,0,2074,9939,121,9,8313030.5
3119,25341,85,1,1,47,5,2014,0,0,5010,3406,990,0,2544899.4
3120,25105,8,0,1,33,3,2006,0,0,9587,471,238,3,2515100.6
3121,54090,61,1,1,36,10,1996,1,0,4321,8989,923,0,5418306.6
3122,80610,64,0,1,93,4,2007,1,0,7915,8636,753,2,8071729.7
3123,65507,43,0,0,90,4,2004,0,0,5622,1788,890,2,6557760.4
3124,27204,73,1,0,2,10,1997,0,1,5833,6135,574,1,2726114.7
3125,79025,88,1,0,42,8,2014,0,0,750,6689,728,7,7908018.4
3126,3452,7,0,1,76,8,2001,0,0,6823,9422,106,1,355370.1
3127,21550,89,1,0,100,5,2013,0,0,8350,4046,990,10,2164424.3
3128,11657,88,0,1,21,1,2012,1,0,4859,4985,999,0,1170585.2
3129,28103,84,1,1,15,1,1993,0,0,884,3358,279,1,2815163.3
3130,47957,13,1,1,47,9,2017,0,0,6806,6563,259,5,4801705.7
3131,63519,91,1,1,31,6,2006,0,1,1001,5368,938,10,6358243.6
3132,76021,71,1,1,12,8,1990,0,1,9738,9613,727,0,7607661.0
3133,88259,8,0,0,96,4,1998,0,1,8896,9058,572,5,8832355.8
3134,82787,69,1,1,80,10,2014,0,0,27,8936,551,6,8289297.4
3135,56517,45,0,1,25,10,1999,0,1,6575,7822,631,8,5657851.9
3136,29096,51,0,1,45,9,1996,1,1,9210,2171,652,0,2913547.6
3137,36216,15,0,0,69,5,1999,0,0,405,8881,695,1,3622946.9
3138,5139,71,1,1,51,10,1998,0,0,8060,6548,517,2,525841.8
3139,25487,54,1,1,76,1,2002,0,0,4815,6098,435,2,2562661.2
3140,35733,25,0,0,3,4,2003,0,0,2304,5810,899,3,3573868.3
3141,16735,92,0,1,80,9,2010,1,1,2664,182,759,1,1677084.0
3142,56202,3,0,0,89,5,2001,0,0,8228,4928,254,5,5629550.1
3143,12426,33,1,1,40,5,2020,0,0,5838,262,901,9,1253371.0
3144,33984,100,0,1,41,2,1990,0,0,1083,7452,452,3,3402691.0
3145,98651,32,0,0,48,4,2004,0,1,994,131,565,10,9870164.4
3146,5117,58,1,0,30,4,2018,0,1,9147,3784,926,6,517775.8
3147,56800,87,0,1,12,7,1999,0,1,6298,2005,539,9,5683058.9
3148,90904,25,0,1,53,9,2009,0,0,3625,4006,940,9,9093802.9
3149,26923,55,0,0,57,3,2004,0,1,9177,3340,145,2,2698265.4
3150,15734,35,1,0,24,1,2003,1,1,792,9480,401,8,1579608.3
3151,17513,81,0,1,73,7,1996,0,0,3196,801,263,8,1761977.6
3152,14052,47,0,1,67,2,2013,1,1,1285,8215,987,5,1411943.3
3153,19727,58,1,1,82,4,1996,1,0,1637,2920,527,7,1984798.6
3154,77423,58,1,1,16,8,1996,1,1,564,866,329,9,7749477.6
3155,65904,84,0,1,47,3,2002,0,0,1605,3922,155,0,6596494.2
3156,29001,49,1,1,72,7,1994,0,0,1526,8164,202,5,2912635.4
3157,32361,44,1,0,57,3,2018,0,0,7036,3216,685,3,3240276.8
3158,93174,36,0,1,53,5,1997,0,0,3133,2493,879,1,9325575.7
3159,71192,8,0,1,89,10,2021,0,0,5726,1576,239,5,7129401.1
3160,68128,39,0,1,18,6,1999,1,0,3823,8783,856,10,6817710.9
3161,98923,61,0,1,33,3,2015,1,0,1393,9134,224,0,9897661.5
3162,72196,50,1,1,12,4,2013,0,0,8722,3606,608,1,7225665.3
3163,99278,10,0,1,41,4,2004,1,0,9887,3920,513,2,9932606.4
3164,30896,94,0,0,40,9,2014,1,0,2375,6784,353,0,3092891.4
3165,50293,82,1,0,99,5,1994,1,0,847,2929,166,1,5038042.4
3166,18229,24,0,1,84,6,2001,1,1,6915,2166,243,4,1832795.1
3167,79224,87,0,0,84,8,2008,0,0,9128,4915,648,0,7926948.8
3168,91975,49,0,0,24,2,2012,1,1,9533,7865,473,10,9198849.2
3169,36387,4,1,1,17,7,1993,1,1,6573,7796,577,2,3642700.3
3170,32136,96,1,1,82,10,2012,1,1,1924,2390,694,4,3227676.2
3171,20995,5,1,0,29,6,2015,0,0,2240,5667,487,5,2103067.5
3172,94361,77,1,0,42,3,2020,1,0,2139,3279,848,7,9442418.0
3173,53019,41,1,0,8,7,2004,1,1,4970,7180,106,4,5306854.4
3174,8609,35,1,1,55,9,2012,0,0,351,7554,482,4,867508.2
3175,64245,59,1,1,5,4,2012,0,1,4341,8736,559,5,6430465.2
3176,28192,64,0,0,12,6,2000,1,1,9495,1048,999,1,2820880.0
